type,value,category,source,first_seen,last_seen,hits,detail
ip,31.43.62.61,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,35.144.107.130,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,36.133.45.189,ssh-probe,ssh,2026-09-22,2026-09-22,2,ssh-probe
ip,36.66.162.10,ssh-post-auth,ssh,2026-09-23,2026-09-23,2,ssh-post-auth
ip,37.230.158.111,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,38.158.106.81,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,38.51.195.85,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,38.52.207.248,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,39.109.116.214,ssh-bruteforce,ssh,2026-09-12,2026-09-12,2,ssh-bruteforce
ip,41.138.96.154,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,41.141.87.108,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,41.225.84.142,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,43.155.202.36,ssh-bruteforce,ssh,2026-09-22,2026-09-22,2,ssh-bruteforce
ip,43.156.238.207,http-scan,ssh,2026-09-24,2026-09-24,2,http-scan
ip,45.140.222.165,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,45.140.222.167,http-scan,ssh,2026-09-23,2026-09-24,2,http-scan
ip,45.148.10.141,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,45.148.10.157,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,45.158.50.88,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,45.174.108.123,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,45.178.195.202,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,45.178.55.152,ssh-probe,ssh,2026-09-22,2026-09-22,2,ssh-probe
ip,45.192.109.91,ssh-post-auth,ssh,2026-09-23,2026-09-23,2,ssh-post-auth
ip,45.232.3.222,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,45.41.104.160,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,45.41.104.90,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,45.9.29.187,ssh-probe,ssh,2026-09-11,2026-09-11,2,ssh-probe
ip,45.93.7.148,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,46.201.116.130,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,46.201.56.220,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,46.8.31.44,ssh-bruteforce,ssh,2026-09-10,2026-09-10,2,ssh-bruteforce
ip,46.98.121.163,ssh-probe,ssh,2026-09-13,2026-09-13,2,ssh-probe
